country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,833e3,911e3,1006e3,1141e3,1206e3,1365e3,1439e3,1281e3,1315e3,1888e3,2167e3,2629e3,3208e3,3828e3,4376e3,4828e3,5482e3,6168e3,6785e3,725e4,7557e3
Albania,121e3,145e3,153e3,167e3,212e3,27e4,306e3,308e3,326e3,273e3,291e3,313e3,306e3,279e3,212e3,214e3,229e3,234e3,22e4,194e3,176e3
Algeria,876e3,978e3,1063e3,1184e3,1395e3,1642e3,205e4,2426e3,2769e3,3231e3,3721e3,3737e3,3554e3,2956e3,31e5,3391e3,3568e3,3539e3,3313e3,3055e3,2925e3
Angola,415e3,445e3,483e3,515e3,612e3,702e3,821e3,969e3,1091e3,1312e3,1528e3,1819e3,2125e3,2358e3,273e4,2926e3,3281e3,3571e3,3782e3,3918e3,402e4
Argentina,1568e3,1606e3,1731e3,1942e3,2122e3,2259e3,2331e3,244e4,2752e3,3293e3,3224e3,3319e3,3423e3,3402e3,3313e3,3394e3,3409e3,3356e3,3261e3,3153e3,3045e3
Armenia,15e4,196e3,117e3,164e3,259e3,342e3,362e3,301e3,278e3,261e3,298e3,319e3,265e3,188e3,202e3,221e3,227e3,21e4,185e3,171e3,168e3
Aruba,4e3,4e3,5e3,5e3,7e3,7e3,7e3,6e3,4e3,5e3,6e3,7e3,8e3,8e3,7e3,6e3,6e3,6e3,7e3,6e3,6e3
Australia,558e3,613e3,771e3,1031e3,1127e3,1225e3,1308e3,131e4,14e5,1271e3,1327e3,1399e3,1449e3,1422e3,1418e3,1488e3,1528e3,1562e3,1593e3,1607e3,162e4
Austria,457e3,491e3,55e4,503e3,496e3,586e3,654e3,623e3,514e3,462e3,488e3,494e3,504e3,447e3,427e3,41e4,407e3,416e3,42e4,417e3,408e3
Azerbaijan,341e3,416e3,238e3,297e3,47e4,686e3,803e3,723e3,702e3,69e4,806e3,93e4,881e3,684e3,657e3,774e3,811e3,762e3,672e3,614e3,608e3
Bahamas,8e3,8e3,9e3,12e3,15e3,19e3,26e3,27e3,28e3,26e3,29e3,28e3,31e3,31e3,28e3,28e3,28e3,28e3,28e3,27e3,27e3
Bahrain,11e3,13e3,15e3,17e3,23e3,35e3,34e3,3e4,35e3,46e3,53e3,6e4,72e3,69e3,71e3,69e3,69e3,68e3,68e3,7e4,7e4
Bangladesh,4313e3,4732e3,5154e3,5747e3,7205e3,823e4,9465e3,10934e3,12794e3,14826e3,16308e3,16645e3,16733e3,16963e3,16793e3,15695e3,15643e3,15591e3,15233e3,14589e3,13852e3
Barbados,2e4,2e4,2e4,24e3,26e3,28e3,28e3,26e3,25e3,2e4,2e4,19e3,17e3,15e3,14e3,14e3,14e3,13e3,13e3,12e3,12e3
Belarus,786e3,778e3,521e3,595e3,778e3,907e3,853e3,731e3,729e3,743e3,812e3,803e3,608e3,47e4,454e3,475e3,459e3,423e3,381e3,344e3,328e3
Belgium,623e3,572e3,544e3,71e4,721e3,788e3,798e3,731e3,662e3,615e3,61e4,624e3,64e4,61e4,6e5,63e4,629e3,637e3,633e3,626e3,621e3
Belize,7e3,7e3,8e3,1e4,13e3,17e3,17e3,19e3,21e3,22e3,28e3,31e3,34e3,36e3,36e3,36e3,37e3,37e3,36e3,34e3,33e3
Benin,175e3,194e3,225e3,231e3,257e3,3e5,359e3,426e3,496e3,598e3,698e3,828e3,974e3,112e4,1283e3,1482e3,165e4,1765e3,1854e3,1928e3,1998e3
Bhutan,17e3,2e4,22e3,25e3,27e3,34e3,39e3,45e3,54e3,52e3,64e3,76e3,78e3,7e4,71e3,68e3,72e3,73e3,69e3,64e3,62e3
Bolivia,277e3,303e3,328e3,384e3,434e3,495e3,556e3,626e3,72e4,77e4,853e3,957e3,1077e3,1114e3,1165e3,1174e3,1171e3,1155e3,1128e3,1093e3,105e4
Bosnia and Herzegovina,322e3,336e3,257e3,334e3,393e3,412e3,415e3,38e4,367e3,265e3,29e4,294e3,226e3,219e3,18e4,169e3,165e3,158e3,147e3,136e3,126e3
Botswana,45e3,5e4,51e3,55e3,79e3,92e3,106e3,123e3,148e3,18e4,208e3,218e3,217e3,212e3,208e3,225e3,233e3,234e3,229e3,223e3,22e4
Brazil,5405e3,64e5,689e4,8431e3,10226e3,11887e3,13764e3,14138e3,14921e3,16673e3,18154e3,1739e4,16509e3,17232e3,17123e3,15074e3,1368e4,12956e3,12197e3,11563e3,11214e3
Brunei,5e3,5e3,6e3,7e3,13e3,17e3,2e4,22e3,22e3,27e3,29e3,32e3,36e3,36e3,35e3,36e3,36e3,36e3,38e3,39e3,39e3
Bulgaria,682e3,581e3,591e3,7e5,681e3,65e4,622e3,608e3,641e3,614e3,543e3,512e3,399e3,32e4,325e3,35e4,342e3,313e3,281e3,256e3,251e3
Burkina Faso,419e3,452e3,5e5,514e3,555e3,646e3,738e3,844e3,971e3,1123e3,1302e3,1506e3,1726e3,1982e3,2313e3,2962e3,3216e3,3406e3,3583e3,3788e3,3992e3
Burundi,249e3,267e3,292e3,321e3,398e3,419e3,467e3,521e3,563e3,627e3,765e3,934e3,975e3,963e3,996e3,1107e3,1218e3,1257e3,123e4,1194e3,1191e3
Cambodia,452e3,503e3,561e3,629e3,706e3,751e3,786e3,872e3,91e4,924e3,1589e3,1709e3,1846e3,1676e3,1523e3,1628e3,1774e3,1857e3,1816e3,1722e3,1671e3
Cameroon,442e3,48e4,526e3,582e3,668e3,755e3,896e3,1054e3,1262e3,15e5,1779e3,2e6,2188e3,2291e3,2595e3,2894e3,3031e3,3069e3,3099e3,3162e3,3238e3
Canada,1078e3,114e4,1383e3,1769e3,2122e3,2348e3,2418e3,2018e3,1938e3,198e4,2067e3,2159e3,2238e3,2033e3,1955e3,2014e3,212e4,2246e3,2327e3,2347e3,2352e3
Cape Verde,19e3,17e3,14e3,21e3,3e4,34e3,39e3,4e4,36e3,45e3,53e3,6e4,61e3,6e4,58e3,55e3,56e3,56e3,55e3,52e3,48e3
Central African Rep.,125e3,132e3,14e4,149e3,17e4,195e3,225e3,262e3,295e3,343e3,397e3,444e3,483e3,54e4,58e4,602e3,629e3,648e3,66e4,672e3,673e3
