country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,951e3,1048e3,1185e3,1249e3,141e4,161e4,171e4,1519e3,1559e3,2266e3,2602e3,3165e3,3809e3,4415e3,4922e3,5578e3,6265e3,6881e3,734e4,764e4,7853e3
Albania,146e3,153e3,168e3,213e3,273e3,307e3,298e3,317e3,337e3,315e3,325e3,315e3,285e3,218e3,22e4,235e3,24e4,226e3,199e3,181e3,178e3
Algeria,1001e3,1099e3,1256e3,1434e3,1779e3,2104e3,2437e3,28e5,3258e3,3762e3,3773e3,3587e3,2985e3,3129e3,3411e3,3587e3,3556e3,3329e3,307e4,294e4,2948e3
Angola,467e3,505e3,548e3,65e4,737e3,845e3,972e3,1141e3,1333e3,1584e3,1844e3,2164e3,2398e3,2784e3,2978e3,3333e3,3621e3,383e4,3961e3,4059e3,4156e3
Argentina,1579e3,1726e3,1939e3,2121e3,2247e3,234e4,2447e3,2747e3,329e4,3222e3,3339e3,3426e3,3404e3,3315e3,3395e3,341e4,3356e3,3261e3,3153e3,3044e3,3041e3
Armenia,191e3,113e3,159e3,249e3,337e3,364e3,307e3,305e3,318e3,317e3,326e3,27e4,192e3,205e3,224e3,23e4,213e3,188e3,174e3,171e3,172e3
Aruba,4e3,5e3,6e3,7e3,7e3,7e3,6e3,4e3,5e3,6e3,6e3,8e3,8e3,7e3,6e3,6e3,6e3,7e3,6e3,6e3,6e3
Australia,587e3,74e4,98e4,1082e3,1208e3,1264e3,1272e3,1348e3,124e4,1295e3,1336e3,1401e3,1374e3,1369e3,144e4,1479e3,1513e3,1544e3,1558e3,157e4,1599e3
Austria,502e3,554e3,504e3,486e3,574e3,649e3,616e3,501e3,441e3,482e3,472e3,489e3,438e3,418e3,401e3,398e3,407e3,411e3,407e3,399e3,397e3
Azerbaijan,405e3,239e3,298e3,471e3,707e3,82e4,745e3,679e3,71e4,814e3,939e3,886e3,688e3,661e3,779e3,816e3,766e3,676e3,618e3,612e3,628e3
Bahamas,9e3,1e4,12e3,15e3,21e3,24e3,27e3,28e3,26e3,29e3,28e3,31e3,31e3,28e3,28e3,28e3,28e3,28e3,27e3,27e3,26e3
Bahrain,13e3,15e3,18e3,24e3,29e3,36e3,36e3,38e3,45e3,53e3,56e3,67e3,69e3,71e3,69e3,69e3,68e3,67e3,69e3,7e4,7e4
Bangladesh,4883e3,5308e3,5926e3,7404e3,8444e3,9748e3,11235e3,13108e3,15149e3,16615e3,16959e3,16981e3,17242e3,17061e3,1596e4,159e5,1584e4,15478e3,1483e4,1409e4,13626e3
Barbados,22e3,22e3,27e3,28e3,31e3,31e3,26e3,26e3,21e3,21e3,2e4,18e3,15e3,14e3,14e3,14e3,13e3,13e3,12e3,12e3,12e3
Belarus,815e3,539e3,606e3,774e3,958e3,9e5,733e3,73e4,745e3,814e3,803e3,609e3,472e3,455e3,477e3,46e4,424e3,382e3,345e3,329e3,329e3
Belgium,57e4,543e3,699e3,714e3,765e3,8e5,728e3,663e3,609e3,604e3,604e3,624e3,602e3,593e3,622e3,622e3,629e3,625e3,618e3,613e3,617e3
Belize,8e3,8e3,1e4,13e3,18e3,18e3,2e4,22e3,23e3,28e3,31e3,35e3,36e3,36e3,36e3,37e3,37e3,36e3,34e3,33e3,32e3
Benin,201e3,232e3,238e3,263e3,307e3,366e3,432e3,503e3,597e3,706e3,827e3,977e3,1127e3,129e4,1488e3,1655e3,177e4,1859e3,1933e3,2002e3,2057e3
Bhutan,2e4,23e3,26e3,28e3,33e3,39e3,46e3,55e3,66e3,64e3,76e3,78e3,7e4,72e3,68e3,72e3,73e3,69e3,64e3,62e3,62e3
Bolivia,314e3,339e3,396e3,447e3,508e3,569e3,648e3,742e3,793e3,875e3,979e3,11e5,1136e3,1187e3,1194e3,1191e3,1173e3,1146e3,111e4,1066e3,1019e3
Bosnia and Herzegovina,344e3,27e4,352e3,4e5,422e3,412e3,382e3,348e3,351e3,268e3,291e3,227e3,22e4,181e3,17e4,165e3,159e3,148e3,136e3,126e3,12e4
Botswana,52e3,54e3,57e3,8e4,94e3,107e3,125e3,149e3,18e4,207e3,218e3,217e3,214e3,209e3,225e3,232e3,234e3,229e3,223e3,22e4,22e4
Brazil,6436e3,6966e3,8513e3,10315e3,11978e3,13853e3,14216e3,15008e3,16775e3,18261e3,17488e3,16598e3,17312e3,17195e3,15136e3,13734e3,13005e3,12241e3,11605e3,11252e3,10841e3
Brunei,5e3,6e3,7e3,13e3,16e3,19e3,21e3,25e3,26e3,28e3,31e3,34e3,35e3,33e3,35e3,35e3,35e3,37e3,37e3,38e3,38e3
Bulgaria,599e3,591e3,703e3,686e3,659e3,617e3,625e3,656e3,65e4,555e3,514e3,403e3,324e3,329e3,353e3,346e3,317e3,284e3,259e3,255e3,261e3
Burkina Faso,47e4,518e3,535e3,576e3,67e4,766e3,873e3,994e3,1148e3,1328e3,1519e3,1751e3,2007e3,2339e3,2991e3,3243e3,3431e3,3606e3,3809e3,4011e3,4143e3
Burundi,281e3,306e3,336e3,415e3,448e3,482e3,527e3,576e3,66e4,808e3,941e3,974e3,983e3,1014e3,1125e3,1236e3,1273e3,1244e3,1206e3,1202e3,1233e3
Cambodia,517e3,576e3,645e3,727e3,83e4,884e3,887e3,911e3,92e4,1601e3,1725e3,1862e3,1688e3,1533e3,1636e3,1781e3,1864e3,1821e3,1726e3,1674e3,168e4
Cameroon,497e3,543e3,598e3,685e3,772e3,909e3,1079e3,1279e3,1525e3,1808e3,2034e3,2227e3,2332e3,2637e3,2936e3,3069e3,3103e3,3129e3,319e4,3263e3,3302e3
Canada,1125e3,1372e3,1744e3,2044e3,2336e3,2353e3,197e4,1841e3,1878e3,1997e3,2052e3,2135e3,1937e3,1861e3,1923e3,2029e3,2155e3,2237e3,2257e3,2262e3,2305e3
Cape Verde,2e4,19e3,16e3,27e3,4e4,42e3,43e3,4e4,47e3,56e3,62e3,63e3,62e3,61e3,57e3,58e3,59e3,57e3,54e3,51e3,48e3
Central African Rep.,137e3,145e3,154e3,175e3,202e3,231e3,265e3,304e3,348e3,405e3,456e3,493e3,551e3,591e3,613e3,638e3,656e3,668e3,679e3,679e3,677e3
Chad,26e4,286e3,312e3,383e3,428e3,48e4,535e3,624e3,757e3,897e3,1059e3,1262e3,1461e3,1683e3,1882e3,2105e3,2325e3,2518e3,2665e3,2766e3,284e4
Channel Islands,7e3,8e3,8e3,8e3,8e3,1e4,9e3,8e3,7e3,8e3,9e3,8e3,8e3,8e3,7e3,7e3,7e3,7e3,7e3,7e3,7e3
Chile,619e3,738e3,831e3,965e3,1178e3,1317e3,1262e3,1243e3,1166e3,1321e3,1464e3,1488e3,1329e3,1238e3,125e4,1262e3,125e4,1237e3,1204e3,117e4,1149e3
China,52433e3,54499e3,67511e3,90457e3,86296e3,107071e3,127902e3,121642e3,96081e3,102485e3,123676e3,106459e3,94551e3,86781e3,87237e3,91167e3,89246e3,815e5,75374e3,7318e4,73451e3
Colombia,1356e3,1575e3,1996e3,2444e3,2811e3,3254e3,3557e3,3493e3,3829e3,4029e3,4209e3,4394e3,4399e3,4405e3,4465e3,4413e3,4366e3,4286e3,418e4,4058e3,3918e3
Comoros,18e3,19e3,19e3,26e3,3e4,34e3,41e3,48e3,58e3,71e3,68e3,7e4,75e3,86e3,97e3,99e3,96e3,95e3,97e3,101e3,102e3
"Congo, Dem. Rep.",1444e3,1638e3,1852e3,2076e3,2418e3,2814e3,3287e3,3815e3,453e4,5633e3,6571e3,7716e3,8877e3,10154e3,11032e3,12126e3,13088e3,13701e3,14006e3,14132e3,14184e3
"Congo, Rep.",91e3,1e5,113e3,132e3,155e3,186e3,223e3,265e3,312e3,352e3,386e3,423e3,445e3,5e5,533e3,551e3,57e4,576e3,579e3,581e3,581e3
Costa Rica,1e5,116e3,148e3,199e3,242e3,288e3,292e3,28e4,323e3,376e3,432e3,428e3,41e4,399e3,376e3,394e3,386e3,383e3,375e3,369e3,365e3
Cote d'Ivoire,302e3,337e3,37e4,452e3,571e3,733e3,948e3,1232e3,1583e3,1865e3,2099e3,2341e3,2585e3,2898e3,3127e3,3333e3,3465e3,3565e3,3654e3,3723e3,3761e3
Croatia,343e3,292e3,372e3,37e4,339e3,314e3,304e3,305e3,317e3,32e4,277e3,258e3,241e3,208e3,211e3,213e3,208e3,199e3,19e4,183e3,183e3
Cuba,66e4,708e3,744e3,853e3,847e3,1192e3,1193e3,1074e3,741e3,773e3,854e3,779e3,707e3,642e3,567e3,545e3,526e3,496e3,462e3,427e3,4e5
Cyprus,51e3,52e3,67e3,65e3,67e3,6e4,48e3,5e4,55e3,61e3,63e3,64e3,54e3,5e4,52e3,55e3,59e3,6e4,6e4,59e3,6e4
Czech Rep.,558e3,72e4,881e3,841e3,714e3,685e3,688e3,844e3,869e3,691e3,649e3,592e3,447e3,473e3,552e3,569e3,541e3,505e3,475e3,478e3,509e3
Denmark,315e3,384e3,417e3,371e3,368e3,393e3,39e4,364e3,317e3,272e3,304e3,35e4,345e3,331e3,322e3,304e3,304e3,316e3,323e3,318e3,308e3
Djibouti,8e3,9e3,11e3,14e3,2e4,28e3,44e3,51e3,69e3,77e3,93e3,101e3,1e5,103e3,105e3,109e3,113e3,116e3,117e3,116e3,115e3
Dominican Rep.,308e3,353e3,408e3,505e3,622e3,723e3,79e4,829e3,866e3,936e3,99e4,1033e3,1024e3,1054e3,1066e3,105e4,1025e3,998e3,97e4,939e3,902e3
Ecuador,374e3,419e3,492e3,642e3,739e3,861e3,995e3,1122e3,1251e3,134e4,1378e3,139e4,1433e3,1406e3,1356e3,1328e3,1313e3,1282e3,1241e3,1191e3,1142e3
Egypt,2277e3,2406e3,339e4,3875e3,4507e3,4961e3,5454e3,5943e3,7017e3,8052e3,9168e3,8155e3,8464e3,9005e3,959e4,9846e3,9626e3,9344e3,9252e3,9276e3,9202e3
El Salvador,27e4,279e3,321e3,403e3,483e3,547e3,592e3,656e3,671e3,664e3,681e3,745e3,73e4,602e3,581e3,596e3,601e3,601e3,565e3,533e3,508e3
Equatorial Guinea,22e3,23e3,25e3,3e4,32e3,33e3,35e3,32e3,29e3,45e3,66e3,76e3,83e3,9e4,101e3,115e3,125e3,129e3,132e3,136e3,14e4
Eritrea,139e3,156e3,176e3,189e3,222e3,255e3,273e3,385e3,466e3,445e3,497e3,542e3,593e3,723e3,837e3,88e4,876e3,864e3,877e3,915e3,952e3
Estonia,102e3,9e4,84e3,98e3,102e3,102e3,99e3,112e3,112e3,107e3,109e3,77e3,62e3,65e3,78e3,84e3,81e3,74e3,65e3,62e3,66e3
Ethiopia,2172e3,2444e3,276e4,2986e3,3375e3,3972e3,4329e3,4997e3,576e4,6869e3,827e4,9788e3,10861e3,11818e3,13131e3,14112e3,14848e3,15295e3,15487e3,15497e3,1545e4
Fiji,36e3,43e3,5e4,62e3,73e3,78e3,78e3,78e3,87e3,91e3,85e3,89e3,9e4,86e3,81e3,78e3,75e3,72e3,7e4,66e3,61e3
Finland,327e3,359e3,492e3,438e3,402e3,385e3,351e3,302e3,325e3,33e4,317e3,33e4,3e5,292e3,301e3,307e3,308e3,304e3,296e3,288e3,287e3
France,2822e3,2735e3,4058e3,4107e3,4155e3,4334e3,4229e3,4225e3,3737e3,3887e3,3839e3,3691e3,3736e3,3974e3,3965e3,3794e3,3727e3,3676e3,3677e3,3737e3,3768e3
French Guiana,2e3,2e3,3e3,4e3,5e3,7e3,8e3,9e3,11e3,15e3,16e3,22e3,24e3,27e3,27e3,28e3,3e4,32e3,33e3,33e3,33e3
French Polynesia,7e3,8e3,9e3,12e3,15e3,17e3,2e4,21e3,21e3,24e3,28e3,23e3,24e3,23e3,24e3,24e3,23e3,23e3,22e3,21e3,21e3
Gabon,41e3,41e3,41e3,47e3,49e3,57e3,67e3,84e3,105e3,128e3,15e4,173e3,173e3,175e3,18e4,188e3,194e3,195e3,194e3,192e3,19e4
Gambia,29e3,33e3,36e3,35e3,43e3,54e3,67e3,83e3,104e3,125e3,15e4,183e3,216e3,243e3,266e3,286e3,303e3,318e3,33e4,339e3,344e3
Georgia,394e3,277e3,3e5,403e3,49e4,506e3,438e3,437e3,432e3,406e3,408e3,349e3,234e3,22e4,239e3,232e3,219e3,197e3,181e3,175e3,175e3
Germany,6194e3,5251e3,4538e3,5223e3,5704e3,6526e3,6095e3,4343e3,4095e3,4498e3,4736e3,4227e3,3958e3,3663e3,3381e3,3281e3,3314e3,3273e3,3168e3,3051e3,2971e3
Ghana,604e3,713e3,851e3,906e3,1044e3,1239e3,1398e3,1656e3,1891e3,2154e3,2412e3,2646e3,2815e3,3009e3,3252e3,3473e3,3604e3,3708e3,3776e3,3867e3,3965e3
Greece,777e3,642e3,732e3,717e3,716e3,711e3,779e3,716e3,747e3,698e3,602e3,547e3,528e3,525e3,548e3,524e3,499e3,48e4,475e3,483e3,496e3
Grenada,9e3,9e3,11e3,12e3,16e3,15e3,12e3,12e3,1e4,12e3,14e3,11e3,1e4,9e3,9e3,1e4,9e3,8e3,7e3,6e3,6e3
Guadeloupe,22e3,24e3,34e3,4e4,42e3,46e3,42e3,38e3,33e3,34e3,36e3,36e3,34e3,36e3,34e3,32e3,31e3,3e4,29e3,28e3,27e3
Guam,4e3,6e3,7e3,9e3,1e4,11e3,11e3,12e3,12e3,13e3,14e3,16e3,17e3,17e3,16e3,16e3,16e3,16e3,16e3,16e3,15e3
Guatemala,37e4,416e3,521e3,604e3,666e3,766e3,873e3,1012e3,1167e3,1315e3,1425e3,1624e3,1799e3,1991e3,2131e3,2236e3,2292e3,2304e3,2278e3,2223e3,2147e3
Guinea,269e3,328e3,346e3,399e3,448e3,475e3,542e3,625e3,743e3,92e4,1043e3,1144e3,1257e3,1435e3,1636e3,1805e3,1932e3,2026e3,2102e3,217e4,2223e3
